movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
1,80.0,93.0,8.424,7.6,136.0
2,95.0,83.0,1.018,6.5,2.0
3,93.0,91.0,12.619,0.0,0.0
4,68.0,97.0,6.595,7.8,287.0
6,67.0,91.0,11.607,6.4,290.0
7,82.0,99.0,15.222,7.2,1105.0
8,92.0,93.0,6.852,7.0,1.0
10,75.0,91.0,14.831,7.3,317.0
11,95.0,48.0,188.24,7.8,289.0
13,83.0,100.0,2.944,6.0,1.0
15,82.0,92.0,11.696,7.2,430.0
17,52.0,100.0,8.9,6.8,251.0
18,92.0,95.0,14.205,7.0,1068.0
20,95.0,100.0,2.68,6.6,5.0
21,65.0,95.0,6.595,6.7,205.0
22,66.0,91.0,14.389,7.1,1760.0
25,72.0,93.0,4.051,7.7,22.0
26,91.0,79.0,594.754,7.6,5879.0
28,58.0,93.0,6.08,6.1,115.0
29,68.0,96.0,2.752,0.0,0.0
32,72.0,93.0,4.607,0.0,0.0
34,58.0,97.0,3.784,7.2,10.0
35,95.0,71.0,0.6,0.0,0.0
37,96.0,77.0,21.644,7.5,1705.0
39,72.0,95.0,6.475,6.4,216.0
40,78.0,97.0,10.652,7.3,63.0
41,86.0,93.0,5.17,7.1,75.0
42,79.0,100.0,2.983,8.5,4.0
43,89.0,92.0,29.869,7.8,1446.0
44,95.0,71.0,5.053,7.3,31.0
45,57.0,91.0,5.639,6.3,5.0
46,64.0,95.0,4.194,7.4,7.0
47,78.0,97.0,5.087,7.9,12.0
48,93.0,97.0,5.777,7.0,31.0
49,68.0,92.0,11.466,6.3,208.0
51,92.0,42.0,56.694,7.1,1692.0
54,60.0,93.0,26.627,7.0,5425.0
55,67.0,97.0,12.27,6.6,585.0
56,92.0,98.0,4.306,8.5,7.0
58,51.0,98.0,0.6,0.0,0.0
61,81.0,91.0,28.81,7.9,13717.0
62,69.0,94.0,4.102,6.7,41.0
63,83.0,92.0,13.724,7.0,801.0
64,85.0,98.0,6.239,7.6,229.0
65,81.0,100.0,2.012,8.3,39.0
66,84.0,96.0,3.581,7.5,24.0
67,84.0,100.0,3.05,5.3,4.0
68,72.0,94.0,12.141,6.7,509.0
71,92.0,64.0,2.96,6.6,8.0
72,73.0,92.0,1.77,8.0,13.0
74,69.0,98.0,9.051,6.4,306.0
76,91.0,94.0,5.353,7.0,35.0
80,61.0,92.0,20.942,5.9,15.0
81,88.0,92.0,2.186,5.0,3.0
82,52.0,98.0,2.686,0.0,0.0
83,84.0,94.0,2.332,7.1,33.0
84,92.0,82.0,64.119,7.8,2091.0
85,75.0,93.0,4.124,6.8,13.0
86,86.0,100.0,4.15,7.9,15.0
88,80.0,100.0,3.629,7.5,6.0
90,86.0,96.0,10.401,7.1,56.0
91,75.0,92.0,5.879,7.9,82.0
96,75.0,91.0,11.511,6.7,2562.0
97,91.0,54.0,22.699,6.8,1396.0
98,95.0,85.0,19.567,6.2,414.0
103,76.0,96.0,7.224,7.4,167.0
104,100.0,90.0,31.067,0.0,0.0
108,69.0,98.0,59.278,6.8,22.0
109,75.0,94.0,4.486,7.0,23.0
110,58.0,94.0,3.789,5.4,6.0
111,92.0,51.0,13.154,7.0,316.0
113,86.0,94.0,12.695,7.3,340.0
115,54.0,92.0,2.476,7.2,10.0
116,98.0,80.0,2.204,6.0,1.0
117,65.0,92.0,2.982,6.5,34.0
121,50.0,91.0,2.269,6.8,5.0
123,90.0,100.0,2.72,9.0,1.0
124,93.0,33.0,8.943,5.1,5.0
125,75.0,100.0,2.59,7.6,26.0
126,80.0,96.0,10.035,7.0,243.0
129,86.0,100.0,6.054,7.2,40.0
130,94.0,42.0,9.65,7.2,162.0
133,91.0,42.0,1.801,4.0,5.0
135,79.0,93.0,2.635,7.8,21.0
136,95.0,41.0,15.953,0.0,0.0
137,93.0,97.0,9.933,7.9,84.0
138,67.0,100.0,3.456,5.3,7.0
139,67.0,100.0,2.193,0.0,0.0
141,86.0,100.0,3.634,7.8,22.0
143,39.0,93.0,26.413,6.2,151.0
144,92.0,61.0,56.338,7.2,7031.0
145,59.0,100.0,5.53,6.9,22.0
146,93.0,97.0,15.982,7.8,6832.0
147,92.0,60.0,0.6,0.0,0.0
149,91.0,97.0,13.649,7.7,1499.0
153,70.0,91.0,7.635,6.6,172.0
