movie_id,title,releaseDate,genre,language
1,Endless Poetry,2017-07-14,Biography,Spanish
2,Elephants,2018-12-07,"Romance, Drama",English
3,West Side Story,2021-12-10,"Musical, Romance",English
4,The Edge of Democracy,2019-06-19,"Documentary, History, Drama",Portuguese
5,Tiger 24,2022-06-10,Documentary,English
6,Grandma,2015-08-21,"Comedy, Drama",English
7,Eighth Grade,2018-08-03,"Comedy, Drama",English
8,Kurt Vonnegut: Unstuck in Time,2021-11-19,"Documentary, Biography",English
9,The Last Race,2018-11-16,Documentary,English
10,Gonjiam: Haunted Asylum,2018-04-13,"Horror, Mystery & thriller",Korean
11,Spirit Untamed,2021-06-04,"Kids & family, Adventure, Animation",English
12,Hidden Blade,2023-02-17,"History, Drama, Mystery & thriller",English
13,Belly of the Beast,2020-10-16,Documentary,English
14,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021-04-23,"Fantasy, Adventure, Action, Anime",Japanese
15,The End of the Tour,2015-07-31,Drama,English
16,God's Creatures,2022-09-30,"Mystery & thriller, Drama",English
17,Breaking Surface,2020-12-09,"Action, Drama",Swedish
18,A Beautiful Day in the Neighborhood,2019-11-22,"Biography, Drama",English
19,Broken Ceiling,2018-02-23,Drama,English
20,Suzi Q,2020-07-01,"Documentary, Music",English
21,Fire at Sea,2016-10-21,Documentary,Italian
22,A Ghost Story,2017-07-07,"Drama, Fantasy, Romance",English
23,Taxi,2015-10-02,"Comedy, Drama",Persian
24,Free in Deed,2017-09-08,Drama,English
25,Saturday Church,2018-01-12,"Drama, Musical, Lgbtq+",English
26,Black Widow,2021-07-09,"Action, Adventure",English
27,Exit,2019-08-02,"Comedy, Adventure",Korean
28,Queen of Earth,2015-08-26,"Comedy, Drama",English
29,Cow,2022-04-08,Documentary,English
30,Mrs. Chatterjee vs Norway,2023-03-17,Drama,Hindi
31,May It Last: A Portrait of the Avett Brothers,2017-09-12,"Documentary, Music",English
32,The Novice,2021-12-17,Mystery & thriller,English
33,Only Yesterday,2016-01-01,"Drama, Anime",Japanese
34,The Body Remembers When the World Broke Open,2019-11-29,Drama,English
35,Hot to Trot,2018-08-24,Documentary,English
36,Wildcat,2022-12-21,Documentary,English
37,Richard Jewell,2019-12-13,Drama,English
38,Little Sister,2016-07-08,Drama,Japanese
39,Marguerite,2016-03-11,Comedy,French
40,Drive My Car,2021-11-24,Drama,Japanese
41,The Eagle Huntress,2016-11-02,Documentary,English
42,A Thousand Cuts,2020-08-07,Documentary,English
43,Another Round,2020-12-04,"Comedy, Drama",Danish
44,Snapshots,2018-07-27,Drama,English
45,Wild Indian,2021-09-03,"Mystery & thriller, Drama",English
46,The Rape of Recy Taylor,2017-12-08,Drama,English
47,The Truffle Hunters,2021-03-05,Documentary,Italian
48,"Love, Antosha",2019-08-02,Documentary,English
49,Neruda,2016-12-16,"History, Drama",Spanish
50,83,2021-12-23,"Drama, Biography",Hindi
51,Midway,2019-11-08,"War, History, Drama",English
52,The Russian Woodpecker,2015-10-16,"Documentary, War",Russian
53,In Our Mothers' Gardens,2021-05-06,Documentary,English
54,Us,2019-03-22,"Horror, Mystery & thriller",English
55,45 Years,2015-12-23,Drama,English
56,Flee,2021-12-03,"Documentary, Animation",Danish
57,Güeros,2015-05-20,Comedy,Spanish
58,Time,2020-10-09,Documentary,English
59,Obit.,2017-04-26,Documentary,English
60,Landfill Harmonic,2016-09-09,"Documentary, Music",Spanish
61,La La Land,2016-12-25,"Musical, Romance, Comedy, Drama",English
62,Newtown,2016-10-07,"Documentary, History, Drama",English
63,Stan & Ollie,2019-01-25,"Biography, Comedy, Drama, History",English
64,Kedi,2017-02-10,Documentary,Turkish
65,Pandas,2018-04-06,Documentary,English
66,Dealt,2017-10-20,Documentary,English
67,Antiquities,2019-01-25,Comedy,English
68,Wildlife,2018-10-19,Drama,English
