nomination_id,movie_id,year_film,year_ceremony,ceremony,canon_category,name,winner
1,737,2019,2020,92,WRITING (Original Screenplay),Rian Johnson,False
2,43,2020,2021,93,INTERNATIONAL FEATURE FILM,Denmark,True
3,1321,2020,2021,93,FILM EDITING,Mikkel E. G. Nielsen,True
4,58,2020,2021,93,DOCUMENTARY (Feature),Garrett Bradley/Lauren Domino/Kellen Quinn,False
5,795,2020,2021,93,DOCUMENTARY (Feature),Maite Alberdi/Marcela Santibáñez,False
6,977,2020,2021,93,DOCUMENTARY (Feature),Alexander Nanau/Bianca Oana,False
7,43,2020,2021,93,DIRECTING,Thomas Vinterberg,False
8,1582,2020,2021,93,COSTUME DESIGN,Ann Roth,True
9,961,2020,2021,93,ANIMATED FEATURE FILM,Tomm Moore/Ross Stewart/Paul Young/Stéphan Roelants,False
10,1462,2020,2021,93,ANIMATED FEATURE FILM,Dan Scanlon/Kori Rae,False
11,1582,2020,2021,93,ACTRESS IN A LEADING ROLE,Viola Davis,False
12,1321,2020,2021,93,ACTOR IN A SUPPORTING ROLE,Paul Raci,False
13,1582,2020,2021,93,ACTOR IN A LEADING ROLE,Chadwick Boseman,False
14,1321,2020,2021,93,ACTOR IN A LEADING ROLE,Riz Ahmed,False
15,566,2019,2020,92,WRITING (Original Screenplay),Bong Joon Ho/Han Jin Won,True
16,783,2019,2020,92,WRITING (Original Screenplay),Noah Baumbach,False
17,977,2020,2021,93,INTERNATIONAL FEATURE FILM,Romania,False
18,1518,2019,2020,92,WRITING (Adapted Screenplay),Greta Gerwig,False
19,534,2019,2020,92,WRITING (Adapted Screenplay),Taika Waititi,True
20,986,2019,2020,92,WRITING (Adapted Screenplay),Steven Zaillian,False
21,986,2019,2020,92,VISUAL EFFECTS,Pablo Helman/Leandro Estebecorena/Nelson Sepulveda-Fauser/Stephane Grabli,False
22,1203,2019,2020,92,VISUAL EFFECTS,Dan DeLeeuw/Russell Earl/Matt Aitken/Dan Sudick,False
23,1161,2019,2020,92,SOUND MIXING,Paul Massey/David Giammarco/Steven A. Morrow,False
24,1161,2019,2020,92,SOUND EDITING,Donald Sylvester,True
25,566,2019,2020,92,ART DIRECTION,Lee Ha Jun/Cho Won Woo,False
26,534,2019,2020,92,ART DIRECTION,Ra Vincent/Nora Sopková,False
27,986,2019,2020,92,ART DIRECTION,Bob Shaw/Regina Graves,False
28,566,2019,2020,92,BEST PICTURE,Kwak Sin Ae/Bong Joon Ho,True
29,783,2019,2020,92,BEST PICTURE,Noah Baumbach/David Heyman,False
30,1518,2019,2020,92,BEST PICTURE,Amy Pascal,False
31,534,2019,2020,92,BEST PICTURE,Carthew Neal/Taika Waititi/Chelsea Winstanley,False
32,849,2021,2022,94,ACTRESS IN A LEADING ROLE,Penélope Cruz,False
33,1366,2021,2022,94,COSTUME DESIGN,Jenny Beavan,True
34,3,2021,2022,94,CINEMATOGRAPHY,Janusz Kaminski,False
35,480,2021,2022,94,CINEMATOGRAPHY,Bruno Delbonnel,False
36,1082,2021,2022,94,CINEMATOGRAPHY,Ari Wegner,False
37,247,2021,2022,94,ANIMATED FEATURE FILM,Don Hall/Carlos López Estrada/Osnat Shurer/Peter Del Vecho,False
38,1367,2021,2022,94,ANIMATED FEATURE FILM,Mike Rianda/Phil Lord/Christopher Miller/Kurt Albrecht,False
39,1319,2021,2022,94,ANIMATED FEATURE FILM,Enrico Casarosa/Andrea Warren,False
40,56,2021,2022,94,ANIMATED FEATURE FILM,Jonas Poher Rasmussen/Monica Hellström/Signe Byrge Sørensen/Charlotte De La Gournerie,False
41,1242,2021,2022,94,ANIMATED FEATURE FILM,Jared Bush/Byron Howard/Yvett Merino/Clark Spencer,True
42,167,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Aunjanue Ellis,False
43,1082,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Kirsten Dunst,False
44,369,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Judi Dench,False
45,3,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose,True
46,1330,2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Jessie Buckley,False
47,986,2019,2020,92,BEST PICTURE,Martin Scorsese/Robert De Niro/Jane Rosenthal/Emma Tillinger Koskoff,False
48,1330,2021,2022,94,ACTRESS IN A LEADING ROLE,Olivia Colman,False
49,1082,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Kodi Smit-McPhee,False
50,1082,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Jesse Plemons,False
51,1428,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Troy Kotsur,True
52,369,2021,2022,94,ACTOR IN A SUPPORTING ROLE,Ciarán Hinds,False
53,480,2021,2022,94,ACTOR IN A LEADING ROLE,Denzel Washington,False
54,167,2021,2022,94,ACTOR IN A LEADING ROLE,Will Smith,True
55,1082,2021,2022,94,ACTOR IN A LEADING ROLE,Benedict Cumberbatch,False
56,1321,2020,2021,93,WRITING (Original Screenplay),Darius Marder/Abraham Marder/Derek Cianfrance,False
57,1083,2020,2021,93,VISUAL EFFECTS,Matt Sloan/Genevieve Camilleri/Matt Everitt/Brian Cox,False
58,1321,2020,2021,93,SOUND MIXING,Nicolas Becker/Jaime Baksht/Michellee Couttolenc/Carlos Cortés/Phillip Bladh,True
59,1582,2020,2021,93,ART DIRECTION,Mark Ricker/Karen O'Hara/Diana Stoughton,False
60,1321,2020,2021,93,BEST PICTURE,Bert Hamelinck/Sacha Ben Harroche,False
61,1582,2020,2021,93,MAKEUP AND HAIRSTYLING,Sergio Lopez-Rivera/Mia Neal/Jamika Wilson,True
62,1166,2018,2019,91,VISUAL EFFECTS,Dan DeLeeuw/Kelly Port/Russell Earl/Dan Sudick,False
63,37,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Kathy Bates,False
64,1518,2019,2020,92,ACTRESS IN A LEADING ROLE,Saoirse Ronan,False
65,783,2019,2020,92,ACTRESS IN A LEADING ROLE,Scarlett Johansson,False
66,1219,2019,2020,92,ACTRESS IN A LEADING ROLE,Cynthia Erivo,False
67,986,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Joe Pesci,False
68,986,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Al Pacino,False
69,18,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Tom Hanks,False
70,783,2019,2020,92,ACTOR IN A LEADING ROLE,Adam Driver,False
71,690,2019,2020,92,ACTOR IN A LEADING ROLE,Antonio Banderas,False
72,1514,2018,2019,91,WRITING (Original Screenplay),Alfonso Cuarón,False
73,604,2018,2019,91,WRITING (Original Screenplay),Nick Vallelonga/Brian Currie/Peter Farrelly,True
74,177,2018,2019,91,WRITING (Original Screenplay),Paul Schrader,False
75,614,2018,2019,91,WRITING (Original Screenplay),Deborah Davis/Tony McNamara,False
76,606,2018,2019,91,WRITING (Adapted Screenplay),Nicole Holofcener/Jeff Whitty,False
77,668,2015,2016,88,MAKEUP AND HAIRSTYLING,Lesley Vanderwalt/Elka Wardega/Damian Martin,True
78,783,2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Laura Dern,True
79,1514,2018,2019,91,SOUND MIXING,Skip Lievsay/Craig Henighan/José Antonio García,False
80,464,2018,2019,91,SOUND MIXING,Steve Boeddeker/Brandon Proctor/Peter Devlin,False
81,1514,2018,2019,91,SOUND EDITING,Sergio Díaz/Skip Lievsay,False
82,266,2018,2019,91,SOUND EDITING,Ethan Van der Ryn/Erik Aadahl,False
83,464,2018,2019,91,SOUND EDITING,Benjamin A. Burtt/Steve Boeddeker,False
84,1514,2018,2019,91,ART DIRECTION,Eugenio Caballero/Bárbara Enríquez,False
85,614,2018,2019,91,ART DIRECTION,Fiona Crombie/Alice Felton,False
86,464,2018,2019,91,ART DIRECTION,Hannah Beachler/Jay Hart,True
87,1514,2018,2019,91,BEST PICTURE,Gabriela Rodríguez/Alfonso Cuarón,False
88,604,2018,2019,91,BEST PICTURE,Jim Burke/Charles B. Wessler/Brian Currie/Peter Farrelly/Nick Vallelonga,True
89,614,2018,2019,91,BEST PICTURE,Ceci Dempsey/Ed Guiney/Lee Magiday/Yorgos Lanthimos,False
