title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
Violet,56.0,85.0,17.504,5.0,2.0
Small Town Wisconsin,88.0,83.0,2.64,6.5,2.0
Endless Poetry,80.0,93.0,8.424,7.6,136.0
Elephants,95.0,83.0,1.018,6.5,2.0
Unbranded,83.0,75.0,3.496,6.9,16.0
West Side Story,93.0,91.0,12.619,0.0,0.0
The Edge of Democracy,68.0,97.0,6.595,7.8,287.0
Censored Voices,68.0,90.0,1.916,6.0,13.0
Skate Kitchen,76.0,89.0,7.837,6.9,99.0
Lamb,61.0,86.0,17.975,6.5,35.0
Lamb,61.0,86.0,1.821,7.0,19.0
Lamb,61.0,86.0,51.753,6.7,119.0
Tiger 24,95.0,100.0,,,
Braid,58.0,88.0,7.484,5.8,97.0
Black Adam,88.0,39.0,,,
Grandma,67.0,91.0,11.607,6.4,290.0
Eighth Grade,82.0,99.0,15.222,7.2,1105.0
Kurt Vonnegut: Unstuck in Time,92.0,93.0,6.852,7.0,1.0
Give Me Liberty,73.0,89.0,4.288,6.8,45.0
The Last Race,63.0,93.0,,,
The Gentlemen,84.0,75.0,28.295,7.7,3690.0
Gonjiam: Haunted Asylum,75.0,91.0,14.831,7.3,317.0
Wind River,90.0,88.0,22.849,7.4,3793.0
Spirit Untamed,95.0,48.0,188.24,7.8,289.0
The Song of Names,90.0,39.0,7.826,6.8,77.0
Hidden Blade,98.0,73.0,,,
Belly of the Beast,83.0,100.0,2.944,6.0,1.0
Sorry We Missed You,81.0,87.0,11.673,7.4,465.0
Passing,86.0,90.0,33.765,7.1,26.0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,99.0,98.0,,,
The End of the Tour,82.0,92.0,11.696,7.2,430.0
The Cowboys,69.0,83.0,,,
Mountains May Depart,69.0,89.0,6.402,6.8,143.0
Girls of the Sun,82.0,51.0,5.014,7.3,59.0
The Short History of the Long Road,82.0,89.0,4.719,6.9,27.0
Finding Oscar,88.0,82.0,2.572,7.8,10.0
God's Creatures,58.0,91.0,,,
Breaking Surface,52.0,100.0,8.9,6.8,251.0
Notebook,89.0,22.0,2.273,5.7,15.0
Notebook,89.0,22.0,0.84,8.0,1.0
The Ornithologist,51.0,87.0,6.475,6.6,59.0
Stronger,80.0,90.0,15.604,7.0,1197.0
A Beautiful Day in the Neighborhood,92.0,95.0,14.205,7.0,1068.0
Broken Ceiling,97.0,67.0,,,
Jhund,90.0,81.0,4.972,5.0,2.0
The Wolfpack,68.0,87.0,6.652,6.9,248.0
Suzi Q,95.0,100.0,2.68,6.6,5.0
Daughter of Mine,46.0,87.0,2.915,6.5,47.0
Itzhak,81.0,90.0,3.379,6.3,6.0
The Other Story,89.0,71.0,1.346,6.3,6.0
Fire at Sea,65.0,95.0,6.595,6.7,205.0
A Ghost Story,66.0,91.0,14.389,7.1,1760.0
"Ruben Brandt, Collector",82.0,82.0,8.191,7.6,88.0
Taxi,73.0,100.0,1.674,5.7,13.0
Taxi,73.0,100.0,5.915,7.0,289.0
Free in Deed,75.0,100.0,,,
Saturday Church,72.0,93.0,4.051,7.7,22.0
Black Widow,91.0,79.0,594.754,7.6,5879.0
Exit,94.0,83.0,2.524,5.9,12.0
Exit,94.0,83.0,1.688,0.0,0.0
Exit,94.0,83.0,0.6,6.8,6.0
Exit,94.0,83.0,0.6,6.5,2.0
American Carnage,84.0,58.0,,,
Queen of Earth,58.0,93.0,6.08,6.1,115.0
Cow,68.0,96.0,2.752,0.0,0.0
"Hello, My Name Is Doris",76.0,85.0,17.051,6.4,383.0
Mrs. Chatterjee vs Norway,93.0,9.0,,,
Strawberry Mansion,71.0,88.0,1.83,6.3,7.0
May It Last: A Portrait of the Avett Brothers,98.0,89.0,,,
The Novice,72.0,93.0,4.607,0.0,0.0
Heaven Knows What,66.0,87.0,,,
Only Yesterday,80.0,100.0,,,
Racing Extinction,82.0,82.0,6.342,7.9,151.0
The Body Remembers When the World Broke Open,58.0,97.0,3.784,7.2,10.0
Let Him Go,76.0,84.0,16.234,6.9,341.0
The Northman,64.0,90.0,4.774,0.0,0.0
Jiang Ziya,88.0,83.0,,,
Master Z: Ip Man Legacy,48.0,89.0,20.581,6.2,370.0
Memoria,42.0,90.0,2.738,5.1,18.0
Memoria,42.0,90.0,0.6,0.0,0.0
Memoria,42.0,90.0,4.711,7.2,9.0
Hot to Trot,95.0,71.0,0.6,0.0,0.0
Wildcat,87.0,92.0,0.691,0.0,0.0
