title,releaseDate,genre,language
Violet,2017-05-12,Drama,Dutch
Small Town Wisconsin,2022-06-03,"Comedy, Drama",English
Endless Poetry,2017-07-14,Biography,Spanish
Elephants,2018-12-07,"Romance, Drama",English
Unbranded,2015-09-25,Documentary,English
West Side Story,2021-12-10,"Musical, Romance",English
The Edge of Democracy,2019-06-19,"Documentary, History, Drama",Portuguese (Brazil)
Censored Voices,2015-11-20,"Documentary, History, Drama",Hebrew
Skate Kitchen,2018-08-10,Drama,English
Lamb,2021-10-08,"Horror, Fantasy, Mystery & thriller",Icelandic
Tiger 24,2022-06-10,Documentary,English
Braid,2019-02-01,"Mystery & thriller, Horror",English
Black Adam,2022-10-21,"Action, Adventure, Fantasy",English
Grandma,2015-08-21,"Comedy, Drama",English
Eighth Grade,2018-08-03,"Comedy, Drama",English
Kurt Vonnegut: Unstuck in Time,2021-11-19,"Documentary, Biography",English
Give Me Liberty,2019-08-23,"Comedy, Drama",English
The Last Race,2018-11-16,Documentary,English
The Gentlemen,2020-01-24,"Crime, Drama, Comedy",English
Gonjiam: Haunted Asylum,2018-04-13,"Horror, Mystery & thriller",Korean
Wind River,2017-08-18,"Mystery & thriller, Crime, Drama",English
Spirit Untamed,2021-06-04,"Kids & family, Adventure, Animation",English
The Song of Names,2019-12-25,"Drama, Mystery & thriller",English
Hidden Blade,2023-02-17,"History, Drama, Mystery & thriller",English
Belly of the Beast,2020-10-16,Documentary,English
Sorry We Missed You,2020-03-06,Drama,English (United Kingdom)
Passing,2021-10-27,Drama,English
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021-04-23,"Fantasy, Adventure, Action, Anime",Japanese
The End of the Tour,2015-07-31,Drama,English
The Cowboys,2016-06-24,Drama,French (France)
Mountains May Depart,2016-02-12,Drama,Chinese
Girls of the Sun,2019-04-12,"Drama, War",French (France)
The Short History of the Long Road,2020-05-15,Drama,English
Finding Oscar,2017-04-14,Documentary,English
God's Creatures,2022-09-30,"Mystery & thriller, Drama",English
Breaking Surface,2020-12-09,"Action, Drama",Swedish
Notebook,2019-03-29,"Romance, Drama",Hindi
The Ornithologist,2017-06-23,"Adventure, Drama, Lgbtq+",Portuguese (Brazil)
Stronger,2017-09-22,"Biography, Drama",English
A Beautiful Day in the Neighborhood,2019-11-22,"Biography, Drama",English
Broken Ceiling,2018-02-23,Drama,English
Jhund,2022-03-04,"Biography, Drama",Hindi
The Wolfpack,2015-06-12,"Documentary, Biography",English
Suzi Q,2020-07-01,"Documentary, Music",English (Australia)
Daughter of Mine,2019-02-01,Drama,Italian
Itzhak,2018-03-09,"Documentary, Music",English
The Other Story,2019-06-28,Drama,Hebrew
Fire at Sea,2016-10-21,Documentary,Italian
A Ghost Story,2017-07-07,"Drama, Fantasy, Romance",English
"Ruben Brandt, Collector",2019-02-15,"Mystery & thriller, Animation",English
Taxi,2015-10-02,"Comedy, Drama",Persian
Free in Deed,2017-09-08,Drama,English
Saturday Church,2018-01-12,"Drama, Musical, Lgbtq+",English
Black Widow,2021-07-09,"Action, Adventure",English
Exit,2019-08-02,"Comedy, Adventure",Korean
American Carnage,2022-07-15,"Mystery & thriller, Comedy",English
Queen of Earth,2015-08-26,"Comedy, Drama",English
Cow,2022-04-08,Documentary,English
"Hello, My Name Is Doris",2016-03-25,"Comedy, Drama",English
Mrs. Chatterjee vs Norway,2023-03-17,Drama,Hindi
Strawberry Mansion,2022-02-18,"Fantasy, Adventure, Animation",English
May It Last: A Portrait of the Avett Brothers,2017-09-12,"Documentary, Music",English
The Novice,2021-12-17,Mystery & thriller,English
Heaven Knows What,2015-05-29,Drama,English
Only Yesterday,2016-01-01,"Drama, Anime",Japanese
Racing Extinction,2015-09-18,Documentary,English
The Body Remembers When the World Broke Open,2019-11-29,Drama,English
Let Him Go,2020-11-06,"Drama, Mystery & thriller",English
The Northman,2022-04-22,"Adventure, Action, Mystery & thriller",English
Jiang Ziya,2020-10-01,"Fantasy, Adventure, Animation",Chinese
Master Z: Ip Man Legacy,2019-04-12,Action,Chinese
Memoria,2021-12-26,Drama,English
Hot to Trot,2018-08-24,Documentary,English
Wildcat,2022-12-21,Documentary,English
Richard Jewell,2019-12-13,Drama,English
Little Sister,2016-07-08,Drama,Japanese
Overlord,2018-11-09,"Horror, Action, Mystery & thriller",English
T2 Trainspotting,2017-03-17,"Comedy, Drama",English
Marguerite,2016-03-11,Comedy,French (France)
Drive My Car,2021-11-24,Drama,Japanese
Mine 9,2019-04-12,Drama,English
In Search of Fellini,2017-09-15,"Drama, Adventure",English
Fauci,2021-09-10,Documentary,English
The Eagle Huntress,2016-11-02,Documentary,English
In Order of Disappearance,2016-08-26,"Mystery & thriller, Crime, Drama, Comedy",Norwegian
A Thousand Cuts,2020-08-07,Documentary,English
Donald Cried,2017-03-03,"Comedy, Drama",English
Song of Granite,2017-11-15,"Biography, History, Drama, Music",English
The Retaliators,2022-09-14,"Horror, Mystery & thriller",English
Another Round,2020-12-04,"Comedy, Drama",Danish
In Pursuit of Silence,2017-06-23,Documentary,English
Snapshots,2018-07-27,Drama,English
Wild Indian,2021-09-03,"Mystery & thriller, Drama",English
John McEnroe: In the Realm of Perfection,2018-08-22,Documentary,English
Citizen Soldier Birds Eye View,2016-08-05,"Documentary, War",English
The Rape of Recy Taylor,2017-12-08,Drama,English
The Truffle Hunters,2021-03-05,Documentary,Italian
"Love, Antosha",2019-08-02,Documentary,English
Neruda,2016-12-16,"History, Drama",Spanish
83,2021-12-23,"Drama, Biography",Hindi
The Gray Man,2022-07-15,"Action, Mystery & thriller",English
Phantom Project,2022-10-14,"Comedy, Drama, Fantasy",Spanish
Small Engine Repair,2021-09-10,"Comedy, Drama",English
Midway,2019-11-08,"War, History, Drama",English
The Russian Woodpecker,2015-10-16,"Documentary, War",Russian
In Our Mothers' Gardens,2021-05-06,Documentary,English
No Time to Die,2021-10-08,"Action, Adventure, Mystery & thriller",English
Us,2019-03-22,"Horror, Mystery & thriller",English
45 Years,2015-12-23,Drama,English
Julieta,2016-12-21,Drama,Spanish (Spain)
I Love My Dad,2022-08-05,"Comedy, Drama, Romance",English
Flee,2021-12-03,"Documentary, Animation",Danish
Güeros,2015-05-20,Comedy,Spanish
Time,2020-10-09,Documentary,English
Obit.,2017-04-26,Documentary,English
Landfill Harmonic,2016-09-09,"Documentary, Music",Spanish
La La Land,2016-12-25,"Musical, Romance, Comedy, Drama",English
Censor,2021-06-11,"Horror, Mystery & thriller",English
Newtown,2016-10-07,"Documentary, History, Drama",English
Stan & Ollie,2019-01-25,"Biography, Comedy, Drama, History",English
"Paul, Apostle of Christ",2018-03-23,Drama,English
"Love, Gilda",2018-09-21,Documentary,English
Line Walker 2: Invisible Spy,2019-08-16,Action,Chinese
The Resurrection of Gavin Stone,2017-01-20,"Comedy, Drama",English
The Captain,2018-07-27,"History, Drama, War",German
Kedi,2017-02-10,Documentary,Turkish
Pandas,2018-04-06,Documentary,English
Frank & Penelope,2022-06-03,"Crime, Drama, Mystery & thriller",English
In the Aisles,2019-06-14,"Comedy, Drama, Romance",German
Letters From Baghdad,2017-06-02,Documentary,English
God's Country,2022-09-16,"Mystery & thriller, Western, Drama",English
Do You Believe?,2015-03-20,Drama,English
Dealt,2017-10-20,Documentary,English
Antiquities,2019-01-25,Comedy,English
Star Wars: The Rise of Skywalker,2019-12-20,"Sci-fi, Adventure, Action, Fantasy",English
Room for Rent,2018-11-02,"Comedy, Mystery & thriller",English
Five Seasons: The Gardens of Piet Oudolf,2018-06-13,Documentary,English
Wildlife,2018-10-19,Drama,English
House of Gucci,2021-11-24,Drama,English
Vinyl Nation,2020-08-28,"Documentary, Music",English
Don't Be Nice,2019-09-20,Documentary,English
