year_film,year_ceremony,ceremony,canon_category,name,title,winner,nomination_id
2015,2016,88,ACTOR IN A LEADING ROLE,Matt Damon,The Martian,False,1
2015,2016,88,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Revenant,True,2
2015,2016,88,ACTOR IN A LEADING ROLE,Michael Fassbender,Steve Jobs,False,3
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Big Short,False,4
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Tom Hardy,The Revenant,False,5
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,Spotlight,False,6
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Rylance,Bridge of Spies,True,7
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Sylvester Stallone,Creed,False,8
2015,2016,88,ACTRESS IN A LEADING ROLE,Cate Blanchett,Carol,False,9
2015,2016,88,ACTRESS IN A LEADING ROLE,Brie Larson,Room,True,10
2015,2016,88,ACTRESS IN A LEADING ROLE,Charlotte Rampling,45 Years,False,11
2015,2016,88,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Brooklyn,False,12
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Rooney Mara,Carol,False,13
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Rachel McAdams,Spotlight,False,14
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Steve Jobs,False,15
2015,2016,88,ANIMATED FEATURE FILM,Charlie Kaufman/Duke Johnson/Rosa Tran,Anomalisa,False,16
2015,2016,88,ANIMATED FEATURE FILM,Alê Abreu,Boy and the World,False,17
2015,2016,88,ANIMATED FEATURE FILM,Pete Docter/Jonas Rivera,Inside Out,True,18
2015,2016,88,ANIMATED FEATURE FILM,Mark Burton/Richard Starzak,Shaun the Sheep Movie,False,19
2015,2016,88,ANIMATED FEATURE FILM,Hiromasa Yonebayashi/Yoshiaki Nishimura,When Marnie Was There,False,20
2015,2016,88,CINEMATOGRAPHY,Ed Lachman,Carol,False,21
2015,2016,88,CINEMATOGRAPHY,John Seale,Mad Max: Fury Road,False,22
2015,2016,88,CINEMATOGRAPHY,Emmanuel Lubezki,The Revenant,True,23
2015,2016,88,CINEMATOGRAPHY,Roger Deakins,Sicario,False,24
2015,2016,88,COSTUME DESIGN,Sandy Powell,Carol,False,25
2015,2016,88,COSTUME DESIGN,Sandy Powell,Cinderella,False,26
2015,2016,88,COSTUME DESIGN,Jenny Beavan,Mad Max: Fury Road,True,27
2015,2016,88,COSTUME DESIGN,Jacqueline West,The Revenant,False,28
2015,2016,88,DIRECTING,Adam McKay,The Big Short,False,29
2015,2016,88,DIRECTING,George Miller,Mad Max: Fury Road,False,30
2015,2016,88,DIRECTING,Alejandro G. Iñárritu,The Revenant,True,31
2015,2016,88,DIRECTING,Lenny Abrahamson,Room,False,32
2015,2016,88,DIRECTING,Tom McCarthy,Spotlight,False,33
2015,2016,88,DOCUMENTARY (Feature),Asif Kapadia/James Gay-Rees,Amy,True,34
2015,2016,88,DOCUMENTARY (Feature),Matthew Heineman/Tom Yellin,Cartel Land,False,35
2015,2016,88,DOCUMENTARY (Feature),Joshua Oppenheimer/Signe Byrge Sørensen,The Look of Silence,False,36
