genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Thriller"",""Horror"",""Mystery""]",The Dead Center,en,4.165,"[""United States of America""]",2019-10-11,"[""English""]",5.6,43.0,2018.0
"[""Drama""]",Final Set,fr,15.458,"[""France""]",2021-06-16,"[""Français""]",6.6,70.0,2020.0
"[""Drama"",""Horror"",""Mystery""]",Saint Maud,en,19.389,"[""United Kingdom""]",2020-10-09,"[""English"",""Cymraeg""]",6.8,329.0,2019.0
"[""Drama"",""Music"",""Romance""]",Becks,en,3.255,"[""United States of America""]",2017-06-15,"[""English""]",5.8,17.0,2017.0
"[""Documentary""]",This Changes Everything,en,3.424,"[""United States of America"",""Canada""]",2015-09-10,"[""English"",""ελληνικά"",""普通话"","""",""తెలుగు""]",6.3,8.0,2015.0
"[""Documentary""]",The Work,en,3.634,"[""United States of America""]",2017-03-11,"[""English""]",7.8,22.0,2017.0
"[""Comedy""]",Doobious Sources,en,1.962,"[""United States of America""]",2017-01-02,"[""English""]",3.5,2.0,2017.0
"[""Documentary""]",Raising Bertie,en,2.21,"[""United States of America""]",2017-06-09,"[""English""]",9.0,5.0,2016.0
"[""Drama"",""Thriller""]",The Man Standing Next,ko,6.743,"[""South Korea""]",2020-01-22,"[""English"",""한국어/조선말""]",6.8,61.0,2020.0
"[""Thriller"",""Mystery"",""Drama""]",Searching,en,22.33,"[""United States of America""]",2018-08-24,"[""English""]",7.6,2906.0,2018.0
"[""Action"",""Adventure"",""Comedy"",""Fantasy"",""Science Fiction""]",Thor: Ragnarok,en,125.417,"[""United States of America""]",2017-10-25,"[""English""]",7.6,16704.0,2017.0
"[""Drama"",""Fantasy""]",A Ghost Story,en,14.389,"[""United States of America""]",2017-04-24,"[""English""]",7.1,1760.0,2017.0
"[""Adventure"",""Drama"",""Comedy""]",The Peanut Butter Falcon,en,14.544,"[""United States of America""]",2019-08-09,"[""English""]",7.4,883.0,2019.0
"[""Drama"",""Action"",""History""]",Only the Brave,en,22.355,"[""United States of America""]",2017-09-22,"[""English""]",7.3,1123.0,2017.0
"[""Animation"",""Drama"",""History""]",Miss Hokusai,ja,7.036,"[""Japan""]",2015-05-09,"[""日本語""]",6.9,91.0,2015.0
"[""Thriller""]",The Assistant,fr,1.483,"[""France""]",2015-09-02,"[""Français""]",5.6,10.0,2015.0
"[""Drama"",""Music""]",Straight Outta Compton,en,34.597,"[""United States of America""]",2015-08-11,"[""English""]",7.8,2978.0,2015.0
"[""Comedy""]",Booksmart,en,26.929,"[""United States of America""]",2019-05-24,"[""English"",""Español"",""普通话"",""日本語""]",7.1,1890.0,2019.0
"[""Animation"",""Drama""]",A Silent Voice,ja,143.608,"[""Japan""]",2016-09-17,"[""日本語""]",8.4,2618.0,2016.0
