title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
Endless Poetry,80.0,93.0,2017-07-14,Biography,Spanish
Elephants,95.0,83.0,2018-12-07,"Romance, Drama",English
West Side Story,93.0,91.0,2021-12-10,"Musical, Romance",English
The Edge of Democracy,68.0,97.0,2019-06-19,"Documentary, History, Drama",Portuguese (Brazil)
Tiger 24,95.0,100.0,2022-06-10,Documentary,English
Grandma,67.0,91.0,2015-08-21,"Comedy, Drama",English
Eighth Grade,82.0,99.0,2018-08-03,"Comedy, Drama",English
Kurt Vonnegut: Unstuck in Time,92.0,93.0,2021-11-19,"Documentary, Biography",English
The Last Race,63.0,93.0,2018-11-16,Documentary,English
Gonjiam: Haunted Asylum,75.0,91.0,2018-04-13,"Horror, Mystery & thriller",Korean
Spirit Untamed,95.0,48.0,2021-06-04,"Kids & family, Adventure, Animation",English
Hidden Blade,98.0,73.0,2023-02-17,"History, Drama, Mystery & thriller",English
Belly of the Beast,83.0,100.0,2020-10-16,Documentary,English
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,99.0,98.0,2021-04-23,"Fantasy, Adventure, Action, Anime",Japanese
The End of the Tour,82.0,92.0,2015-07-31,Drama,English
God's Creatures,58.0,91.0,2022-09-30,"Mystery & thriller, Drama",English
Breaking Surface,52.0,100.0,2020-12-09,"Action, Drama",Swedish
A Beautiful Day in the Neighborhood,92.0,95.0,2019-11-22,"Biography, Drama",English
Broken Ceiling,97.0,67.0,2018-02-23,Drama,English
Suzi Q,95.0,100.0,2020-07-01,"Documentary, Music",English (Australia)
Fire at Sea,65.0,95.0,2016-10-21,Documentary,Italian
A Ghost Story,66.0,91.0,2017-07-07,"Drama, Fantasy, Romance",English
Taxi,73.0,100.0,2015-10-02,"Comedy, Drama",Persian
Free in Deed,75.0,100.0,2017-09-08,Drama,English
Saturday Church,72.0,93.0,2018-01-12,"Drama, Musical, Lgbtq+",English
Black Widow,91.0,79.0,2021-07-09,"Action, Adventure",English
Exit,94.0,83.0,2019-08-02,"Comedy, Adventure",Korean
Queen of Earth,58.0,93.0,2015-08-26,"Comedy, Drama",English
Cow,68.0,96.0,2022-04-08,Documentary,English
Mrs. Chatterjee vs Norway,93.0,9.0,2023-03-17,Drama,Hindi
